trade_date,nav,cash,hold_mv,n_positions,daily_return,market_regime_fuse,regime_score,n_close_trades,close_trade_win_rate,commission_rate,stamp_duty_sell_rate,slippage_rate,regime_fuse_min_score,regime_fuse_days_cum
2025-05-09,1000000.0,1000000.0,0.0,0,0.0,0,60,23,0.6086956521739131,0.0003,0.001,0.001,60,0
2025-05-12,1000000.0,1000000.0,0.0,0,0.0,0,60,23,0.6086956521739131,0.0003,0.001,0.001,60,0
2025-05-13,1000000.0,1000000.0,0.0,0,0.0,0,60,23,0.6086956521739131,0.0003,0.001,0.001,60,0
2025-05-14,1000000.0,1000000.0,0.0,0,0.0,0,60,23,0.6086956521739131,0.0003,0.001,0.001,60,0
2025-05-15,1000000.0,1000000.0,0.0,0,0.0,0,60,23,0.6086956521739131,0.0003,0.001,0.001,60,0
2025-05-16,1000000.0,1000000.0,0.0,0,0.0,0,60,23,0.6086956521739131,0.0003,0.001,0.001,60,0
2025-05-19,1000000.0,1000000.0,0.0,0,0.0,0,60,23,0.6086956521739131,0.0003,0.001,0.001,60,0
2025-05-20,1000000.0,1000000.0,0.0,0,0.0,0,60,23,0.6086956521739131,0.0003,0.001,0.001,60,0
2025-05-21,1000000.0,1000000.0,0.0,0,0.0,0,60,23,0.6086956521739131,0.0003,0.001,0.001,60,0
2025-05-22,1000000.0,1000000.0,0.0,0,0.0,0,60,23,0.6086956521739131,0.0003,0.001,0.001,60,0
2025-05-23,1000000.0,1000000.0,0.0,0,0.0,0,60,23,0.6086956521739131,0.0003,0.001,0.001,60,0
2025-05-26,1000000.0,1000000.0,0.0,0,0.0,0,60,23,0.6086956521739131,0.0003,0.001,0.001,60,0
2025-05-27,1000000.0,1000000.0,0.0,0,0.0,1,40,23,0.6086956521739131,0.0003,0.001,0.001,60,1
2025-05-28,1000000.0,1000000.0,0.0,0,0.0,1,40,23,0.6086956521739131,0.0003,0.001,0.001,60,2
2025-05-29,1000000.0,1000000.0,0.0,0,0.0,1,40,23,0.6086956521739131,0.0003,0.001,0.001,60,3
2025-05-30,1000000.0,1000000.0,0.0,0,0.0,1,40,23,0.6086956521739131,0.0003,0.001,0.001,60,4
2025-06-03,1000000.0,1000000.0,0.0,0,0.0,1,40,23,0.6086956521739131,0.0003,0.001,0.001,60,5
2025-06-04,1000000.0,1000000.0,0.0,0,0.0,1,40,23,0.6086956521739131,0.0003,0.001,0.001,60,6
2025-06-05,1000000.0,1000000.0,0.0,0,0.0,0,60,23,0.6086956521739131,0.0003,0.001,0.001,60,6
2025-06-06,1000000.0,1000000.0,0.0,0,0.0,1,40,23,0.6086956521739131,0.0003,0.001,0.001,60,7
2025-06-09,1000000.0,1000000.0,0.0,0,0.0,0,60,23,0.6086956521739131,0.0003,0.001,0.001,60,7
2025-06-10,1000000.0,1000000.0,0.0,0,0.0,1,40,23,0.6086956521739131,0.0003,0.001,0.001,60,8
2025-06-11,1000000.0,1000000.0,0.0,0,0.0,0,60,23,0.6086956521739131,0.0003,0.001,0.001,60,8
2025-06-12,1000000.0,1000000.0,0.0,0,0.0,0,60,23,0.6086956521739131,0.0003,0.001,0.001,60,8
2025-06-13,1000000.0,1000000.0,0.0,0,0.0,1,40,23,0.6086956521739131,0.0003,0.001,0.001,60,9
2025-06-16,1000000.0,1000000.0,0.0,0,0.0,0,60,23,0.6086956521739131,0.0003,0.001,0.001,60,9
2025-06-17,1000000.0,1000000.0,0.0,0,0.0,1,40,23,0.6086956521739131,0.0003,0.001,0.001,60,10
2025-06-18,1000000.0,1000000.0,0.0,0,0.0,0,60,23,0.6086956521739131,0.0003,0.001,0.001,60,10
2025-06-19,1000000.0,1000000.0,0.0,0,0.0,1,40,23,0.6086956521739131,0.0003,0.001,0.001,60,11
2025-06-20,1000000.0,1000000.0,0.0,0,0.0,1,40,23,0.6086956521739131,0.0003,0.001,0.001,60,12
2025-06-23,1000000.0,1000000.0,0.0,0,0.0,1,40,23,0.6086956521739131,0.0003,0.001,0.001,60,13
2025-06-24,1000000.0,1000000.0,0.0,0,0.0,0,60,23,0.6086956521739131,0.0003,0.001,0.001,60,13
2025-06-25,1000000.0,1000000.0,0.0,0,0.0,0,60,23,0.6086956521739131,0.0003,0.001,0.001,60,13
2025-06-26,1000000.0,1000000.0,0.0,0,0.0,0,60,23,0.6086956521739131,0.0003,0.001,0.001,60,13
2025-06-27,1000000.0,1000000.0,0.0,0,0.0,0,60,23,0.6086956521739131,0.0003,0.001,0.001,60,13
2025-06-30,1000000.0,1000000.0,0.0,0,0.0,0,60,23,0.6086956521739131,0.0003,0.001,0.001,60,13
2025-07-01,1000000.0,1000000.0,0.0,0,0.0,0,60,23,0.6086956521739131,0.0003,0.001,0.001,60,13
2025-07-02,1000000.0,1000000.0,0.0,0,0.0,0,60,23,0.6086956521739131,0.0003,0.001,0.001,60,13
2025-07-03,1000000.0,1000000.0,0.0,0,0.0,0,60,23,0.6086956521739131,0.0003,0.001,0.001,60,13
2025-07-04,1000000.0,1000000.0,0.0,0,0.0,0,60,23,0.6086956521739131,0.0003,0.001,0.001,60,13
2025-07-07,1000000.0,1000000.0,0.0,0,0.0,0,60,23,0.6086956521739131,0.0003,0.001,0.001,60,13
