trade_date,nav,cash,hold_mv,n_positions,daily_return,market_regime_fuse,regime_score,n_close_trades,close_trade_win_rate,commission_rate,stamp_duty_sell_rate,slippage_rate,regime_fuse_min_score,regime_fuse_days_cum
2025-05-09,1000000.0,1000000.0,0.0,0,0.0,0,60,23,0.5217391304347826,0.0003,0.001,0.001,60,0
2025-05-12,1000000.0,1000000.0,0.0,0,0.0,0,60,23,0.5217391304347826,0.0003,0.001,0.001,60,0
2025-05-13,1000000.0,1000000.0,0.0,0,0.0,0,60,23,0.5217391304347826,0.0003,0.001,0.001,60,0
2025-05-14,1000000.0,1000000.0,0.0,0,0.0,0,60,23,0.5217391304347826,0.0003,0.001,0.001,60,0
2025-05-15,1000000.0,1000000.0,0.0,0,0.0,0,60,23,0.5217391304347826,0.0003,0.001,0.001,60,0
2025-05-16,1000000.0,1000000.0,0.0,0,0.0,0,60,23,0.5217391304347826,0.0003,0.001,0.001,60,0
2025-05-19,1000000.0,1000000.0,0.0,0,0.0,0,60,23,0.5217391304347826,0.0003,0.001,0.001,60,0
2025-05-20,1000000.0,1000000.0,0.0,0,0.0,0,60,23,0.5217391304347826,0.0003,0.001,0.001,60,0
2025-05-21,1000000.0,1000000.0,0.0,0,0.0,0,60,23,0.5217391304347826,0.0003,0.001,0.001,60,0
2025-05-22,1000000.0,1000000.0,0.0,0,0.0,0,60,23,0.5217391304347826,0.0003,0.001,0.001,60,0
2025-05-23,1000000.0,1000000.0,0.0,0,0.0,0,60,23,0.5217391304347826,0.0003,0.001,0.001,60,0
2025-05-26,1000000.0,1000000.0,0.0,0,0.0,0,60,23,0.5217391304347826,0.0003,0.001,0.001,60,0
2025-05-27,1000000.0,1000000.0,0.0,0,0.0,1,40,23,0.5217391304347826,0.0003,0.001,0.001,60,1
2025-05-28,1000000.0,1000000.0,0.0,0,0.0,1,40,23,0.5217391304347826,0.0003,0.001,0.001,60,2
2025-05-29,1000000.0,1000000.0,0.0,0,0.0,1,40,23,0.5217391304347826,0.0003,0.001,0.001,60,3
2025-05-30,1000000.0,1000000.0,0.0,0,0.0,1,40,23,0.5217391304347826,0.0003,0.001,0.001,60,4
2025-06-03,1000000.0,1000000.0,0.0,0,0.0,1,40,23,0.5217391304347826,0.0003,0.001,0.001,60,5
